artist_name,track_name,genres,followers,popularity,duration,release_date,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Gunna,P power (feat. Drake),"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,75,193.346,2022-01-13,0.828,0.591,0.109,0.0199,0.000323,0.361,0.202,119.251,hip hop
Gunna,Drip or Drown,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,75,126.168,2017-11-30,0.952,0.478,0.361,0.774,0.0,0.112,0.568,118.008,hip hop
Gunna,All The Money (with Gunna) [Bonus],"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,73,167.4,2022-12-02,0.837,0.58,0.0618,0.053,0.00276,0.699,0.262,111.981,hip hop
Gunna,Banking On Me,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,73,200.0,2022-02-14,0.793,0.308,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,hip hop
Gunna,Solid (feat. Drake),"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,72,215.693,2021-04-16,0.887,0.485,0.2,0.0392,0.0,0.141,0.328,125.987,hip hop
Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,72,197.76,2020-05-22,0.825,0.458,0.0577,0.114,0.0,0.102,0.161,145.115,hip hop
Gunna,What Happened To Virgil (feat. Gunna),"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",5112480,72,181.393,2022-03-11,0.795,0.526,0.204,0.067,2e-06,0.134,0.194,140.037,hip hop
Frank Ocean,Pink + White,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,86,184.516,2016-08-20,0.545,0.545,0.107,0.667,5.48e-05,0.417,0.549,159.94,hip hop
Frank Ocean,Lost,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,84,234.093,2012-07-10,0.913,0.603,0.226,0.0272,0.000503,0.167,0.497,123.061,hip hop
Frank Ocean,Novacane,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,80,302.346,2011-01-01,0.762,0.508,0.0919,0.0584,0.00126,0.16,0.37,93.51,hip hop
Frank Ocean,Ivy,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,80,249.191,2016-08-20,0.575,0.386,0.037,0.785,0.000289,0.229,0.466,116.408,hip hop
Frank Ocean,Nights,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,78,307.151,2016-08-20,0.457,0.551,0.167,0.427,1.15e-06,0.113,0.428,89.87,hip hop
Frank Ocean,Thinkin Bout You,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,78,200.746,2012-07-10,0.721,0.339,0.0532,0.409,0.00153,0.0973,0.2,129.83,hip hop
Frank Ocean,In My Room,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,77,133.68,2019-11-02,0.861,0.647,0.0675,0.594,0.661,0.114,0.67,158.037,hip hop
Frank Ocean,Slide (feat. Frank Ocean & Migos),"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,72,230.813,2017-06-30,0.736,0.795,0.0545,0.498,1.21e-06,0.254,0.511,104.066,hip hop
Frank Ocean,White Ferrari,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,77,248.807,2016-08-20,0.501,0.0958,0.0433,0.77,0.0,0.298,0.204,108.741,hip hop
Frank Ocean,Chanel,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",10849009,77,210.285,2017-03-10,0.776,0.503,0.237,0.874,0.0,0.112,0.473,110.134,hip hop
Nicki Minaj,Red Ruby Da Sleeze,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27798991,84,214.445,2023-03-03,0.696,0.733,0.256,0.115,0.0,0.111,0.292,98.355,hip hop
Nicki Minaj,Super Freaky Girl,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27798991,75,170.977,2022-08-26,0.951,0.878,0.211,0.0509,1.61e-05,0.321,0.923,133.014,hip hop
Nicki Minaj,Starships,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27798991,74,210.626,2011-01-01,0.747,0.716,0.075,0.135,0.0,0.251,0.751,125.008,hip hop
